Company ID,Client Status,Deposits (Co or Firm),Investment Balances (Co or Firm),Loans (Co or Firm),Credit Lines *,MD Name,State,Client Tier,Business Group,Most recent Call Report,,
 305,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 306,Non-Client,,,,,Kate,NY,,Life Science and Healthcare,,,
 306,Non-Client,,,,,Laura,PA,,Life Science and Healthcare,,,
 310,Former Client,0,0,0,,Dominic,CA,Bronze,Life Science and Healthcare,,,
 310,Non-Client,,,,,Laura,NJ,,Life Science and Healthcare,,,
 311,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 316,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,,,
 316,Non-Client,,,,,Chris,CA,,Life Science and Healthcare,,,
 325,Former Client,0,0,0,,Laura,PA,,Life Science and Healthcare,,,
 328,Client,1649,0,0,,Betty,CA,Bronze,Life Science and Healthcare,8/12/20,,
 338,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,,,
 343,Former Client,0,0,0,,Laura,NC,Gold,Life Science and Healthcare,2/18/20,,
 352,Client,7605,0,0,0,Joe,NY,Silver,HC Corporate Finance,1/29/20,,
 352,Non-Client,,,,,Laura,NJ,,Life Science and Healthcare,,,
 358,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 363,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,,,
 363,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,,,
 364,Former Client,0,0,0,,Betty,CA,Bronze,Life Science and Healthcare,2/19/18,,
 366,Non-Client,,,,,Jeff,KY,,Life Science and Healthcare,12/25/20,,
 375,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,12/25/20,,
 388,Client,3641,2434,0,4250,Kate,MA,Gold,Life Science and Healthcare,8/9/20,,
 390,Client,2884,0,1300,1300,Dominic,CA,Silver,Life Science and Healthcare,7/15/20,,
 396,Client,5808,0,5257,5257,Laura,MD,Silver,Life Science and Healthcare,9/28/20,,
 398,Former Client,0,0,0,,Chris,CA,,Life Science and Healthcare,12/25/20,,
 404,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,12/25/20,,
 407,Non-Client,,,,,Joe,TX,Silver,Life Science and Healthcare,12/25/20,,
 413,Client,9585,0,0,5000,Dominic,CA,Bronze,Life Science and Healthcare,11/17/20,,
 415,Client,9680,1689,0,,Betty,CA,Silver,Life Science and Healthcare,8/12/20,,
 425,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,12/25/20,,
 436,Client,1923,0,0,2500,Kevin,MA,Silver,Life Science and Healthcare,10/14/20,,
 439,Non-Client,,,,,Kate,NY,,Life Science and Healthcare,12/25/20,,
 439,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,12/25/20,,
 439,Non-Client,,,,,Kate,NY,,Life Science and Healthcare,12/25/20,,
 439,Non-Client,,,,,Kate,NY,,Life Science and Healthcare,10/29/18,,
 439,Non-Client,,,,,Kate,CT,,Life Science and Healthcare,,,
 445,Client,5506,5467,0,2500,Kevin,MA,Silver,Life Science and Healthcare,11/24/20,,
 445,Client,2827,7054,0,2600,Kate,MA,Silver,Life Science and Healthcare,8/9/20,,
 452,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,3/21/17,,
 462,Client,1674,0,0,5000,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
 462,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
 491,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,1/30/20,,
 492,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 495,Non-Client,,,,,Kevin,PA,,Life Science and Healthcare,,,
 495,Non-Client,,,,,Laura,PA,,Life Science and Healthcare,,,
 495,Non-Client,,,,,Dominic,TX,,Life Science and Healthcare,,,
 495,Non-Client,,,,,Dominic,UT,,Life Science and Healthcare,,,
 510,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,9/23/18,,
 516,Non-Client,,,,,Dominic,VA,,Life Science and Healthcare,8/14/17,,
 516,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,,,
 516,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,,,
 516,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,,,
 516,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,,,
 517,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,MA,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,MA,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,MA,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,MA,,Life Science and Healthcare,12/25/20,,
 517,Non-Client,,,,,Vera,,,Life Science and Healthcare,12/25/20,,
 517,Former Client,0,0,0,,Chris,CA,,Life Science and Healthcare,,,
 517,Non-Client,,,,,Vera,MA,,Life Science and Healthcare,,,
 517,Non-Client,,,,,Vera,CA,,Life Science and Healthcare,,,
 543,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
 565,Non-Client,,,,,Betty,,Gold,Life Science and Healthcare,8/30/17,,
 571,Client,6539,0,3158,3658,Betty,CA,Bronze,Life Science and Healthcare,8/12/20,,
 575,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 581,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,10/19/17,,
 586,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 598,Non-Client,,,,,Joe,IL,,Life Science and Healthcare,,,
 599,Non-Client,,,,,Betty,CA,,Life Science and Healthcare,,,
 606,Non-Client,,,,,Vera,CA,,Life Science and Healthcare,,,
 613,Client,3813,0,0,4000,Dominic,CA,Silver,Life Science and Healthcare,7/24/20,,
 623,Client,2112,0,3786,4378,Dominic,AZ,Silver,Life Science and Healthcare,10/27/20,,
 623,Former Client,0,0,0,,Kate,MA,Silver,Life Science and Healthcare,,,
 626,Former Client,0,0,0,,Dominic,NJ,,Life Science and Healthcare,,,
 630,Client,1305,1271,0,1160,Dominic,CA,Bronze,Life Science and Healthcare,8/12/20,,
 635,Former Client,0,0,0,,Dominic,TX,,Life Science and Healthcare,,,
 639,Client,1227,0,0,2000,Kate,PA,Bronze,Life Science and Healthcare,5/20/20,,
 639,Non-Client,,,,,Betty,DC,Gold,Life Science and Healthcare,8/30/18,,
 639,Non-Client,,,,,Chris,CA,,Life Science and Healthcare,,,
 641,Non-Client,,,,,Jeff,IL,,Life Science and Healthcare,12/25/20,,
 641,Client,1924,0,2900,4150,Laura,UT,Gold,Life Science and Healthcare,10/20/20,,
 645,Non-Client,,,,,Vera,NY,,Life Science and Healthcare,10/11/18,,
 647,Client,2473,0,3458,4458,Dominic,CA,Bronze,Life Science and Healthcare,10/21/20,,
 662,Client,1615,0,0,,Laura,VA,Bronze,Life Science and Healthcare,10/19/20,,
 665,Non-Client,,,,,Vera,MA,,Life Science and Healthcare,,,
 669,Client,0,0,1876,2500,Peter,CA,Bronze,Sponsor Finance - Life Sci,,,
 688,Client,1700,0,0,,Dominic,TX,Bronze,Life Science and Healthcare,8/12/20,,
 694,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 716,Non-Client,,,,,Laura,NJ,,Life Science and Healthcare,,,
 718,Client,2799,0,0,5000,Jeff,CO,Bronze,Life Science and Healthcare,8/9/20,,
 745,Non-Client,,,,,,MN,,Life Science and Healthcare,,,
 787,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,,,
 802,Client,2183,0,0,,Kevin,CA,Silver,Life Science and Healthcare,11/27/20,,
 802,Client,6815,0,3677,4277,Betty,CA,Bronze,Life Science and Healthcare,9/3/20,,
 802,Non-Client,,,,,Betty,CA,Bronze,Life Science and Healthcare,1/13/20,,
 810,Client,3807,0,0,,Dominic,CA,Bronze,Life Science and Healthcare,8/12/20,,
 861,Non-Client,,,,,Dominic,CA,Bronze,Life Science and Healthcare,,,
 947,Non-Client,,,,,,MN,,Life Science and Healthcare,,,
&285,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,,,
",344",Former Client,0,0,0,,Kate,MA,Silver,Life Science and Healthcare,,,
.306,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
.324,Non-Client,,,,,Jeff,CO,,Life Science and Healthcare,,,
.415,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,,,
0407,Non-Client,,,,,Laura,FL,,Life Science and Healthcare,,,
0462,Former Client,0,0,0,,Chris,CA,Bronze,Life Science and Healthcare,8/8/19,,
0605,Non-Client,,,,,Laura,TN,,Life Science and Healthcare,2/27/20,,
-113,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
1510,Non-Client,,,,,Kevin,MA,,Life Science and Healthcare,1/20/19,,
1639,Non-Client,,,,,Vera,CA,Bronze,Life Science and Healthcare,,,
2517,Non-Client,,,,,Vera,,,Life Science and Healthcare,,,
2626,Non-Client,,,,,Vera,MA,Bronze,Life Science and Healthcare,6/6/18,,
2631,Non-Client,,,,,Vera,NY,Bronze,Life Science and Healthcare,7/12/18,,
-283,Former Client,0,0,0,,Kate,MA,Bronze,Life Science and Healthcare,2/1/16,,
-295,Client,1688,1500,5297,5397,Chris,CA,Gold,Life Science and Healthcare,11/17/20,,
-296,Former Client,0,0,0,,Chris,CA,,Life Science and Healthcare,,,
3161,Former Client,0,0,0,7000,Chris,MN,Gold,Life Science and Healthcare,,,
3254,Former Client,0,0,0,,Kate,MA,Bronze,Life Science and Healthcare,,,
-330,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,,,
3301,Non-Client,,,,,Dominic,TX,,Life Science and Healthcare,,,
3326,Former Client,0,0,0,,Laura,CA,,Life Science and Healthcare,,,
3369,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,,,
3462,Former Client,0,0,0,0,Kate,MA,Bronze,Life Science and Healthcare,3/10/19,,
3672,Client,3034,0,0,5000,Kate,MA,Bronze,Life Science and Healthcare,7/13/20,,
-404,Non-Client,,,,,Vera,,,Life Science and Healthcare,,,
4590,Client,1289,0,0,3000,Kate,MA,Silver,Life Science and Healthcare,7/13/20,,
-492,Non-Client,,,,,Dominic,UT,,Life Science and Healthcare,,,
-623,Non-Client,,,,,Dominic,UT,,Life Science and Healthcare,,,
6404,Non-Client,,,,,Vera,MA,,Life Science and Healthcare,,,
-643,Non-Client,,,,,Vera,CA,Silver,Life Science and Healthcare,9/25/18,,
6840,Non-Client,,,,,Kate,MA,Gold,Life Science and Healthcare,,,
-704,Client,3680,0,0,,Dominic,CA,Bronze,Life Science and Healthcare,8/12/20,,
-717,Client,5528,0,0,,Dominic,CA,Bronze,Life Science and Healthcare,8/12/20,,
8160,Former Client,0,0,0,,Dominic,CA,,Life Science and Healthcare,12/25/20,,
8273,Client,1399,0,0,0,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
8685,Client,7985,0,0,,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
8720,Non-Client,,,,,Dominic,,,Life Science and Healthcare,11/21/19,,
-936,Former Client,0,0,0,,Dominic,TX,,Life Science and Healthcare,12/25/20,,
a100,Non-Client,,,,,,IL,,Life Science and Healthcare,12/25/20,,
a102,Non-Client,,,,,Joe,PA,Gold,Life Science and Healthcare,7/7/20,,
a104,Non-Client,,,,,,MN,,Life Science and Healthcare,12/25/20,,
A104,Non-Client,,,,,,NM,,Life Science and Healthcare,12/25/20,,
a105,Former Client,0,0,0,,Jeff,MN,,Life Science and Healthcare,,,
a105,Former Client,0,0,0,,Betty,CA,Silver,Life Science and Healthcare,,,
a106,Client,1447,0,7311,8561,Kevin,MA,Silver,Life Science and Healthcare,11/10/20,,
a106,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,,,
a107,Non-Client,,,,,,IL,,Life Science and Healthcare,,,
a108,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a109,Non-Client,0,0,0,,,CA,,Life Science and Healthcare,,,
a110,Former Client,0,0,0,,Jeff,CT,Iron,Life Science and Healthcare,2/26/18,,
a110,Non-Client,,,,,,NJ,,Life Science and Healthcare,,,
a110,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,,,
a111,Non-Client,,,,,Laura,PA,,Life Science and Healthcare,,,
a112,Client,6774,3288,0,6000,Dominic,CA,Silver,Life Science and Healthcare,11/2/20,,
a112,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
a112,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a114,Non-Client,,,,,,CO,,Life Science and Healthcare,12/25/20,,
a114,Former Client,0,0,0,,Kate,MA,Silver,Life Science and Healthcare,,,
a114,Non-Client,,,,,Betty,CA,,Life Science and Healthcare,,,
a114,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a115,Client,6651,0,0,1000,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
A115,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a116,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a126,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,,,
a127,Former Client,0,0,0,,Chris,IL,,Life Science and Healthcare,12/25/20,,
A129,Non-Client,,,,,Jeff,WI,,Life Science and Healthcare,1/7/19,,
a130,Former Client,0,0,0,,Betty,CA,,Life Science and Healthcare,2/27/17,,
a132,Non-Client,,,,,,IN,,Life Science and Healthcare,,,
a144,Client,0,0,0,,Kate,MA,Iron,Life Science and Healthcare,8/26/18,,
a145,Former Client,0,0,0,,Kate,NJ,,Life Science and Healthcare,,,
a147,Non-Client,,,,,,TX,,Life Science and Healthcare,,,
a147,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,,,
a148,Client,2646,9976,0,4000,Kevin,NH,Gold,Life Science and Healthcare,7/16/20,,
a149,Client,2979,3491,4875,5375,Jeff,IL,Bronze,Life Science and Healthcare,10/26/20,,
a149,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,,,
a151,Non-Client,,,,,Joe,TN,Gold,Life Science and Healthcare,,,
A151,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
A151,Former Client,0,0,0,,Betty,CA,Silver,Life Science and Healthcare,,,
a152,Non-Client,,,,,,OH,,Life Science and Healthcare,,,
a154,Non-Client,,,,,,AL,,Life Science and Healthcare,,,
a154,Non-Client,,,,,,CO,,Life Science and Healthcare,,,
a156,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,,,
a157,Former Client,0,0,0,,Dominic,CA,Silver,Life Science and Healthcare,,,
a158,Non-Client,,,,,,CO,,Life Science and Healthcare,,,
a160,Non-Client,,,,,,IN,,Life Science and Healthcare,,,
a160,Former Client,0,0,0,,Dominic,CA,Silver,Life Science and Healthcare,,,
a160,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a160,Former Client,0,0,0,,Kate,PA,Silver,Life Science and Healthcare,,,
a162,Non-Client,,,,,,TN,,Life Science and Healthcare,,,
a165,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,,,
a165,Former Client,0,0,0,,Jeff,MN,Bronze,Life Science and Healthcare,,,
a167,Client,1221,3759,0,7500,Kevin,MA,Gold,Life Science and Healthcare,8/18/20,,
a167,Non-Client,,,,,,NY,,Life Science and Healthcare,,,
a168,Former Client,0,0,0,,Betty,CA,Bronze,Life Science and Healthcare,10/29/20,,
a168,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a170,Client,2038,0,1275,1925,Laura,FL,Gold,Life Science and Healthcare,8/16/20,,
A170,Former Client,0,0,0,,Jeff,MN,Bronze,Life Science and Healthcare,2/1/14,,
A170,Former Client,0,0,0,,Jeff,MN,Bronze,Life Science and Healthcare,,,
a171,Client,2500,5651,1500,7650,Laura,PA,Gold,Life Science and Healthcare,9/22/20,,
a171,Former Client,0,0,0,,Kevin,MA,Iron,Life Science and Healthcare,2/19/18,,
a171,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a172,Former Client,0,0,0,,Betty,,Silver,Life Science and Healthcare,,,
a172,Former Client,0,0,0,,Kate,MA,Silver,Life Science and Healthcare,,,
a173,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,12/25/20,,
a174,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,12/25/20,,
a174,Former Client,0,0,0,,Kate,MA,Silver,Life Science and Healthcare,12/25/20,,
a174,Non-Client,,,,,Chris,CA,,Life Science and Healthcare,12/25/20,,
a174,Client,2017,0,0,6575,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
a175,Client,2177,1003,2000,2000,Dominic,TX,Gold,Life Science and Healthcare,11/27/20,,
a175,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
a176,Client,3100,1011,0,3100,Dominic,CA,Gold,Life Science and Healthcare,8/5/20,,
a176,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,,,
a176,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,,,
a177,Non-Client,,,,,Kate,CT,,Life Science and Healthcare,,,
a177,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a177,Non-Client,,,,,,NY,,Life Science and Healthcare,,,
a178,Client,1606,0,0,2500,,NY,Silver,Sponsor Finance - Life Sci,8/9/20,,
a178,Former Client,0,0,0,,Dominic,TX,Bronze,Life Science and Healthcare,11/13/18,,
a178,Non-Client,,,,,,CO,,Life Science and Healthcare,,,
A180,Former Client,0,0,0,,Kate,MA,Silver,Life Science and Healthcare,,,
a180,Non-Client,,,,,,KY,,Life Science and Healthcare,,,
a181,Non-Client,,,,,,OH,,Life Science and Healthcare,,,
a181,Non-Client,,,,,,CT,,Life Science and Healthcare,,,
a181,Former Client,0,0,0,,Jeff,MN,Bronze,Life Science and Healthcare,,,
a181,Former Client,0,0,0,,Laura,NJ,Silver,Life Science and Healthcare,,,
a182,Client,4487,0,0,8000,Kate,MA,Bronze,Life Science and Healthcare,4/13/20,,
a182,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,,,
a182,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
a182,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,,,
a183,Former Client,0,0,0,,Dominic,CA,Bronze,Life Science and Healthcare,11/2/15,,
a183,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a183,Former Client,0,0,0,,Dominic,NJ,Gold,Life Science and Healthcare,,,
a184,Client,1405,0,0,0,Jesse,NY,Bronze,Sponsor Finance - Life Sci,,,
a184,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a185,Former Client,0,0,0,,Dominic,CA,Silver,Life Science and Healthcare,,,
a186,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
a186,Former Client,0,0,0,,Betty,CA,Silver,Life Science and Healthcare,,,
a187,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,2/28/17,,
a187,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,1/17/17,,
a187,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,,,
A212,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,,,
a212,Non-Client,,,,,,MI,,Life Science and Healthcare,,,
a221,Former Client,0,0,0,,Dominic,CA,Gold,Life Science and Healthcare,2/23/20,,
a223,Non-Client,,,,,,CT,,Life Science and Healthcare,,,
A226,Client,354.,0,0,,Paul,MN,Bronze,Life Science and Healthcare,8/9/20,,
a226,Non-Client,,,,,Dominic,UT,,Life Science and Healthcare,,,
a226,Non-Client,,,,,Kate,MA,,Life Science and Healthcare,,,
a226,Former Client,0,0,0,,Chris,CA,Bronze,Life Science and Healthcare,,,
a226,Non-Client,,,,,Laura,PA,,Life Science and Healthcare,,,
a229,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,,,
a232,Non-Client,,,,,,OH,,Life Science and Healthcare,,,
A232,Former Client,0,0,0,,Chris,CA,,Life Science and Healthcare,,,
a236,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a240,Non-Client,,,,,,CO,,Life Science and Healthcare,,,
a242,Non-Client,,,,,,TX,,Life Science and Healthcare,,,
a244,Client,2500,1332,5275,7784,Dominic,CA,Gold,Life Science and Healthcare,11/15/20,,
a245,Client,3150,0,0,8000,Kate,MA,Silver,Life Science and Healthcare,7/6/20,,
a245,Former Client,0,0,0,,Betty,CA,Silver,Life Science and Healthcare,10/24/17,,
a245,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,,,
a246,Former Client,0,0,0,,Dominic,CA,Bronze,Life Science and Healthcare,4/10/17,,
a247,Former Client,0,0,0,,Kate,NY,Silver,Life Science and Healthcare,,,
a248,Client,1776,6934,5000,1689,Dominic,CA,Gold,Life Science and Healthcare,10/28/20,,
a248,Non-Client,,,,,,CT,,Life Science and Healthcare,,,
a248,Former Client,0,0,0,,Dominic,GA,Gold,Life Science and Healthcare,,,
a249,Client,2712,0,0,,Jeff,PA,Bronze,Life Science and Healthcare,8/9/20,,
A249,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
a249,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,,,
a250,Former Client,0,0,0,,Kate,IL,Silver,Life Science and Healthcare,,,
a250,Former Client,0,0,0,,Laura,TN,,Life Science and Healthcare,,,
a250,Non-Client,,,,,Laura,NJ,,Life Science and Healthcare,,,
a250,Non-Client,,,,,,IL,,Life Science and Healthcare,,,
a250,Non-Client,,,,,,NJ,,Life Science and Healthcare,,,
a252,Client,8232,0,4300,4300,Dominic,CA,Silver,Life Science and Healthcare,9/2/20,,
a252,Client,1110,1527,0,2500,Laura,NC,Gold,Life Science and Healthcare,8/23/20,,
a253,Former Client,0,0,0,0,Betty,WA,Iron,Life Science and Healthcare,2/18/19,,
a253,Non-Client,,,,,,NM,,Life Science and Healthcare,,,
a253,Non-Client,,,,,,NJ,,Life Science and Healthcare,,,
a253,Non-Client,,,,,,CT,,Life Science and Healthcare,,,
a253,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
A254,Former Client,0,0,0,,Chris,CA,,Life Science and Healthcare,,,
a254,Former Client,0,0,0,,Dominic,CA,,Life Science and Healthcare,,,
a254,Non-Client,,,,,Kate,CT,,Life Science and Healthcare,,,
a255,Former Client,0,0,0,,Betty,CA,Silver,Life Science and Healthcare,,,
a258,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,,,
a258,Non-Client,,,,,,TX,,Life Science and Healthcare,,,
a262,Client,9501,0,0,,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
a266,Non-Client,,,,,,TX,,Life Science and Healthcare,,,
a267,Former Client,0,0,0,0,Dominic,CA,Iron,Life Science and Healthcare,2/18/19,,
a271,Non-Client,,,,,,MN,,Life Science and Healthcare,,,
A272,Client,1763,0,1041,2041,Jeff,MI,Bronze,Life Science and Healthcare,2/20/20,,
a272,Non-Client,,,,,Jeff,OH,,Life Science and Healthcare,,,
a274,Non-Client,,,,,Jeff,IL,,Life Science and Healthcare,12/25/20,,
a275,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,12/25/20,,
a275,Client,5072,5383,0,1000,Laura,NJ,Silver,Life Science and Healthcare,9/29/20,,
a275,Client,5791,0,0,2500,Kevin,MA,Bronze,Life Science and Healthcare,8/12/20,,
a276,Client,1372,0,0,2000,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
a277,Former Client,0,0,0,,Chris,CA,Silver,Life Science and Healthcare,12/25/20,,
a277,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,12/25/20,,
a277,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,12/25/20,,
a277,Client,2500,7525,6465,6715,Dominic,TX,Bronze,Life Science and Healthcare,8/12/20,,
a278,Client,1078,5060,3888,1265,Chris,CA,Gold,Life Science and Healthcare,9/10/20,,
a278,Former Client,0,0,0,,Kate,PA,Bronze,Life Science and Healthcare,5/3/16,,
a278,Non-Client,0,0,0,,Jeff,OH,,Life Science and Healthcare,,,
a278,Non-Client,0,0,0,,Jeff,IN,,Life Science and Healthcare,,,
